subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
34,-2.5285699558566384,-2.65826028959326,113.44255126277352
35,-2.5308901262053,-2.66282051393905,118.22061506202431
36,-2.536388061136888,-2.6667455801617757,118.30028246881717
37,-2.539921955833031,-2.6703247802379675,123.95203766062319
38,-2.5453058934230746,-2.6732346231940705,129.6818394607659
39,-2.5496302375416713,-2.6771256351951505,131.00956417822988
40,-2.5519744016425965,-2.6801766532686764,131.18396492250935
41,-2.5534090126068105,-2.68532805299833,137.04012308464937
42,-2.555919743157387,-2.688073204711465,137.48280334933892
43,-2.5640589309795043,-2.6891967409445288,143.2837533805622
44,-2.5787291912137906,-2.6912661871755192,145.5041771996414
45,-2.581026428815157,-2.6930738540007364,151.97082502536884
46,-2.582937919518932,-2.694175679255067,153.39508605109177
47,-2.584599393024657,-2.694777130549186,163.04253543319228
48,-2.5874265089958226,-2.698867651549369,165.69206764313378
49,-2.591618891705868,-2.7003360809571175,166.5917927022267
50,-2.593804566750112,-2.7017778031180946,175.73772061237923
51,-2.594968681932751,-2.7032066390020897,180.85356446747647
52,-2.5968624084463516,-2.7044009631777617,183.47089742960884
53,-2.6023483718134472,-2.7075874486316733,183.77922930719993
54,-2.6050791918359266,-2.708890276652753,190.0280385748268
55,-2.606199478926303,-2.7100536096169185,191.40538634928112
56,-2.6105698682883944,-2.7135202978759736,192.6452785745689
57,-2.6139394987137563,-2.717049235748666,194.6004218692007
58,-2.6172223584057335,-2.7197471702898586,194.92147882364472
59,-2.6189552639245846,-2.7212499162370087,198.2962953629899
60,-2.621301593982869,-2.7217693070489553,205.01229432199165
61,-2.6236371061076094,-2.7223267785689473,213.67468780918585
62,-2.628643104831851,-2.7238679852620997,218.47922504643665
63,-2.6323565265426287,-2.725653154604372,221.50370624717482
64,-2.6335398041852174,-2.727028450825926,223.5456402387285
65,-2.6353520241656114,-2.728048481380138,227.851673619758
66,-2.6367065138504344,-2.730235732517366,241.7548077692193
67,-2.6385031936839876,-2.732052554937372,242.97799549122803
68,-2.6401973667616176,-2.73372409235237,256.4120266514586
69,-2.642850167442601,-2.7351468457163888,259.3519052868298
70,-2.64484165360761,-2.735967696469466,261.69410118626377
71,-2.6457665644774258,-2.7367940820199705,266.3431069409406
72,-2.64929256227612,-2.7392261322336218,276.96252871970614
73,-2.6516170007340336,-2.741296803868267,277.42430617222243
74,-2.6529348695889143,-2.7423190044808754,281.08118241212964
75,-2.653891903011512,-2.7431810649935056,284.49549283434857
76,-2.657187473330762,-2.744671720712312,288.32976592799054
77,-2.659814788236546,-2.745844644496865,301.8868674612348
78,-2.661656137581866,-2.7474332905563816,305.1522396362254
79,-2.663599616700073,-2.7487975763579016,312.1342203687936
80,-2.6657172321142926,-2.749474688917898,312.1840953157928
81,-2.669469541759097,-2.750149504922312,323.3413698751718
82,-2.6709538266210564,-2.7510608377765906,348.8377640714438
83,-2.6730213636848488,-2.751967826005097,349.8178612785988
84,-2.6749002546658307,-2.753204439604147,360.9492572247137
85,-2.676081062859867,-2.7540967248585204,365.46839838215305
86,-2.6797287274057227,-2.7554222435715268,371.02677542177423
87,-2.6817914494333035,-2.756555164782175,380.37309697300674
88,-2.6825163405703174,-2.7572825392316034,383.449834909124
89,-2.6854164108021013,-2.758005000231455,385.4229101942903
90,-2.687061126898925,-2.7587203294666263,398.4038748459116
91,-2.6895944907682057,-2.759435040399287,400.35094772693543
92,-2.691590370168755,-2.760231838434079,406.7229065034136
93,-2.6935292168857634,-2.7609978965044664,408.7905032075391
94,-2.6946873350652547,-2.761920614755851,412.0835555520145
95,-2.6978201128896346,-2.762674850865015,421.64857415152477
96,-2.6995866293660375,-2.763250563249935,422.62442989840304
