subspace_size,qsci_energy
150,-2.760012203540331
151,-2.760978739206709
152,-2.762374492319891
153,-2.7636794243901703
154,-2.7639136866032703
155,-2.7645282871141945
156,-2.764962194702806
157,-2.765845255169075
158,-2.7671673410231397
159,-2.767288235826765
160,-2.7680867884085507
161,-2.768918672790442
162,-2.769615674610727
163,-2.7698297935985887
164,-2.7709023801933137
165,-2.7716957578383052
166,-2.7718332698108403
167,-2.772377526940217
168,-2.772923325602612
169,-2.773853561026426
170,-2.7740507379182233
171,-2.7745762730838415
172,-2.7752896144889774
173,-2.775495955285414
174,-2.7759301436871624
175,-2.7761870279662775
176,-2.776707022009045
177,-2.7770013150952315
178,-2.777254500747899
179,-2.7776758107533657
180,-2.7783549038654023
181,-2.7788353900482874
182,-2.77942568371805
183,-2.779706730553856
184,-2.7799540888160617
185,-2.7805469532014486
186,-2.7812539279620783
187,-2.781505044332376
188,-2.782069326437521
189,-2.7826778953218194
190,-2.78308134831989
191,-2.7832843686609854
192,-2.783627564471547
193,-2.783796248586984
194,-2.783981443976235
195,-2.7843904572000326
196,-2.784919724057075
197,-2.785090145220374
198,-2.785302221347093
199,-2.7854646203239457
200,-2.7861515181196173
201,-2.786358316478268
202,-2.7864418013311782
203,-2.7866033486178168
204,-2.786903362708323
205,-2.787386771434274
206,-2.7874506147771188
207,-2.78746684495483
208,-2.787550205038894
209,-2.787624716487261
210,-2.787660359347695
211,-2.787841200034726
212,-2.788142633674418
213,-2.788213590192313
214,-2.788399342866061
215,-2.7884145621969787
216,-2.788740173214182
217,-2.7889822230233468
218,-2.789272987637873
219,-2.7894680584715164
220,-2.789512282325989
221,-2.7897281354375014
222,-2.789937746476258
223,-2.7901672977068697
224,-2.7904843862058897
225,-2.790561332860033
226,-2.7905627962702013
227,-2.79067663708634
228,-2.7909235168006927
229,-2.791141977727207
230,-2.7912224906551195
231,-2.7915332258487067
232,-2.791687280706572
233,-2.7917314988776596
234,-2.791973489077621
235,-2.792137172607486
236,-2.792387839542611
237,-2.7927083225139793
238,-2.7927331205437165
239,-2.792747282934691
240,-2.79288777251465
241,-2.792926038472117
242,-2.793098620705823
243,-2.7933187193963924
244,-2.793439963413458
245,-2.7934793366228208
246,-2.7934801039164454
247,-2.7935239731381034
248,-2.7935820894354744
249,-2.793928799455434
250,-2.7940050407905037
251,-2.7943459656956176
252,-2.7943608397036006
253,-2.794531996305296
254,-2.7946227941460506
255,-2.7946965532508634
256,-2.7948194360784093
257,-2.7950623646265624
258,-2.795411795770682
259,-2.7955140396150364
260,-2.7957550985038018
261,-2.7958123871417087
262,-2.796075028448212
263,-2.7960862266493343
264,-2.796138721627465
265,-2.7962519050412635
266,-2.796282913096203
267,-2.796427275035958
268,-2.796452597825833
269,-2.7966462903597944
270,-2.7966503249105537
271,-2.796677964179193
272,-2.7967411595016753
273,-2.7967733281919407
274,-2.7968240915269447
275,-2.796842731364659
276,-2.7969669529606165
277,-2.7969683496976665
278,-2.7970032107715275
279,-2.7970721298796746
280,-2.797148429090067
281,-2.797229377485645
282,-2.7972858970434267
283,-2.7972874677598907
284,-2.7972966018635335
285,-2.7972995601223754
286,-2.7975281499770506
287,-2.797554119011376
288,-2.7976849718126893
289,-2.797685691490772
290,-2.797700993328971
291,-2.797771468555505
292,-2.797847776267174
293,-2.797919427270576
294,-2.7980609800888425
295,-2.798099440606739
296,-2.798104011285838
297,-2.7981048048467447
298,-2.798331597520431
299,-2.798345538942991
300,-2.7983612182900774
301,-2.7983919351614066
302,-2.7986780990307114
303,-2.7988139577756583
304,-2.7988173542172277
305,-2.79881816332979
306,-2.7988550457768673
307,-2.798858852689111
308,-2.799036935131994
309,-2.7990776969160818
310,-2.799387023181892
311,-2.7996342599030144
312,-2.7998272312676202
313,-2.7998516616558105
314,-2.7999859282760746
315,-2.8000126013773787
316,-2.8000876963322776
317,-2.8000899770682732
318,-2.8002426081840106
319,-2.800244686880286
320,-2.8003210258191746
321,-2.80043238580293
322,-2.800494755681661
323,-2.8005984985326857
324,-2.8011152427739314
325,-2.801115326902354
326,-2.801229629529975
327,-2.80146071371168
328,-2.801481440286514
329,-2.801809459585631
330,-2.8018810077937606
331,-2.801924638991551
332,-2.8023982710413895
333,-2.802526441647163
334,-2.802752752538714
335,-2.8029106504486583
336,-2.8030509312720557
337,-2.803052003838975
338,-2.8034916274253985
339,-2.803599751878458
340,-2.804266690833429
341,-2.804395693243995
342,-2.8044416489259154
343,-2.804442890245442
344,-2.804535403691305
345,-2.8051921797548323
346,-2.8054234879298354
347,-2.808560206951599
348,-2.8088052278935414
349,-2.8108779504170482
350,-2.8111262315951793
351,-2.8111326803619807
352,-2.813286040096474
353,-2.8140112811228852
354,-2.8146939120591865
355,-2.8146989204184765
356,-2.8147646896702643
357,-2.8153230594330383
358,-2.815426477621919
359,-2.815442595898565
360,-2.8155470383402257
361,-2.8165656114877926
362,-2.8182357606065374
363,-2.8182360394283656
364,-2.81837237739666
365,-2.8183920820578052
366,-2.8191778170467066
367,-2.8191799237132145
368,-2.81935951221009
369,-2.8193690033652703
370,-2.8193690146980352
371,-2.819404820383864
372,-2.819561687892939
373,-2.8198134111698447
374,-2.8242768529947373
375,-2.824280084825277
376,-2.824293006290956
377,-2.8242988640296516
378,-2.825450306558632
379,-2.8254579591991975
380,-2.8267917077209783
381,-2.826820741626275
382,-2.827200568886671
383,-2.8272839537479624
384,-2.8275233472401973
385,-2.828007273750845
386,-2.8280194263047354
387,-2.8280680250805608
388,-2.828106760308979
389,-2.8296277230246414
390,-2.8296406800170826
391,-2.829858111568676
392,-2.8298591031922475
393,-2.829897573835946
394,-2.8300230519453486
395,-2.8300302444968124
396,-2.830602528756118
397,-2.830962343799876
398,-2.8309653981584995
399,-2.8311539328905284
400,-2.8311798009611855
