subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,mean_sample_number
156,-2.819858471750448,-2.8378824817682835,-2.846809224548009,36586.40443186611
157,-2.8198584717504445,-2.8378824817682884,-2.8468454751016377,36586.40443186611
158,-2.8198584717504462,-2.8378824817682884,-2.8468744058035744,36586.40443186611
159,-2.8198584717504476,-2.837985544599567,-2.8469142808168675,39128.630835214346
160,-2.8198584717504565,-2.838071557353697,-2.846941469333117,39128.630835214346
161,-2.8198723554410217,-2.838141498292722,-2.846955150367223,39566.990037976175
162,-2.819887166858393,-2.8381990306561393,-2.846970399803877,39566.990037976175
163,-2.819897053662557,-2.8382295950797904,-2.8469824957054164,41636.04723618447
164,-2.819906788550241,-2.8382774656424887,-2.8469960035885356,41636.04723618447
165,-2.8199206859653705,-2.8383022990416276,-2.847015301745973,41636.04723618447
166,-2.8199356550095596,-2.838307182810432,-2.8470375470653173,41636.04723618447
167,-2.8199356550095587,-2.838346521612526,-2.847053702206345,41636.04723618447
168,-2.8199356550095582,-2.83834919678414,-2.8470678484002243,41636.04723618447
169,-2.81993565500955,-2.8383491967841454,-2.847085011679638,44030.6482648829
170,-2.819935655009553,-2.838349196784149,-2.8471050207718176,44030.6482648829
171,-2.8199575278278846,-2.83834919678414,-2.847117818171815,47354.33218060353
172,-2.8199766642722044,-2.8383491967841445,-2.8471277461925273,47354.33218060353
173,-2.819976664272202,-2.8383491967841477,-2.847134184334489,48454.918187374926
174,-2.8199766642722075,-2.838349196784134,-2.8471413632582108,48454.918187374926
175,-2.819976664272215,-2.838349196784145,-2.8471449634419037,50691.65933352344
176,-2.8199766642722155,-2.838349196784146,-2.8471482615973884,50691.65933352344
177,-2.8199841698590125,-2.8383491967841437,-2.8471500280198483,50691.65933352344
178,-2.8199896440387504,-2.8383491967841463,-2.847151942208164,50691.65933352344
179,-2.819999324529205,-2.838349196784148,-2.8471545972053685,50691.65933352344
180,-2.8200082453076405,-2.8383491967841428,-2.8471571256855865,50691.65933352344
181,-2.820016886350053,-2.838354772465146,-2.847163595414216,51370.451906793
182,-2.82002473607297,-2.838360401300359,-2.8471703785682285,51370.451906793
183,-2.820039606390143,-2.8383657111246023,-2.8471710816333813,51370.451906793
184,-2.8200523763442398,-2.8383776428397436,-2.847171835260865,51370.451906793
185,-2.8200523763442304,-2.838381471529593,-2.8471741203661662,51370.451906793
186,-2.82005237634423,-2.838392131041278,-2.8471759049081395,51370.451906793
187,-2.8200523763442367,-2.838448614007773,-2.8471772075621327,54821.358124797305
188,-2.8200523763442438,-2.838493708687582,-2.847178738290188,54821.358124797305
189,-2.820052376344233,-2.838499576472972,-2.84717993094187,57215.88703568625
190,-2.8200523763442242,-2.8385193043486114,-2.847181505151008,57215.88703568625
191,-2.82005237634423,-2.838538878144843,-2.8471836547726674,57215.88703568625
192,-2.820052376344237,-2.838541007601508,-2.8471850889021404,57215.88703568625
193,-2.820064373899485,-2.8385436187037567,-2.8471867529065404,57215.88703568625
194,-2.8200750237318544,-2.83854672561574,-2.8471892284624527,57215.88703568625
195,-2.8201310291941626,-2.838546725615735,-2.847189767523631,57974.28082830208
196,-2.820188618966997,-2.8385467256157466,-2.847190359031113,57974.28082830208
197,-2.8201982131721866,-2.838546725615752,-2.847190782023568,62350.51056857677
198,-2.8202065336918207,-2.8385467256157404,-2.8471912486047235,62350.51056857677
199,-2.8202065336918234,-2.838546725615737,-2.847191681572885,62543.242068393345
200,-2.8202065336918167,-2.8385467256157417,-2.8471921339556046,62543.242068393345
201,-2.820215351828378,-2.8385467256157417,-2.8471921339556023,67135.87311817933
202,-2.8202248947430917,-2.8385467256157346,-2.8471921339556077,67135.87311817933
203,-2.8202252364074716,-2.8385535240531357,-2.8471921339556103,67638.45463289425
204,-2.8202255165160577,-2.838564961324545,-2.8471921339556037,67638.45463289425
205,-2.8202255165160506,-2.838592198875779,-2.8471921339555966,67638.45463289425
206,-2.8202255165160515,-2.8385984390690897,-2.8471921339556,67638.45463289425
207,-2.820225516516042,-2.8386094504228474,-2.847192133955602,67638.45463289425
208,-2.8202255165160404,-2.83862960966555,-2.8471921339556006,67638.45463289425
209,-2.8202255165160555,-2.8386296096655634,-2.8471921339555992,69660.02890778158
210,-2.82022551651605,-2.838629609665554,-2.8471921339555997,69660.02890778158
211,-2.8202255165160484,-2.8386296096655403,-2.847192133955607,70656.13773166407
212,-2.820225516516049,-2.8386296096655617,-2.8471921339556023,70656.13773166407
213,-2.8202421939948454,-2.838638456873274,-2.8471921339556028,75335.0243796762
214,-2.8202555409458836,-2.838670086866592,-2.8471921339556028,75335.0243796762
215,-2.8202574698117187,-2.8386756529136288,-2.8471921339555943,75335.0243796762
216,-2.820259399744926,-2.838681539411559,-2.847192133955598,75335.0243796762
217,-2.820259399744929,-2.838693105426273,-2.8471921339556037,75335.0243796762
218,-2.8202593997449332,-2.8387111090151698,-2.847192133955611,75335.0243796762
219,-2.820260801494896,-2.838711109015173,-2.8471921339556028,82832.07042022227
220,-2.8202622674493174,-2.8387111090151653,-2.847192133955605,82832.07042022227
221,-2.820264824018007,-2.838711109015169,-2.847192133955601,83057.31672229704
222,-2.820266966329132,-2.838711109015174,-2.8471921339555966,83057.31672229704
223,-2.820266966329146,-2.8387558590543684,-2.847192133955612,86030.01474392002
224,-2.820266966329145,-2.8387927112917524,-2.847192133955614,86030.01474392002
225,-2.8202669663291413,-2.838792711291761,-2.847192133955599,92257.52172347494
226,-2.820266966329135,-2.8387927112917613,-2.8471921339556108,92257.52172347494
227,-2.820268135550783,-2.838792711291757,-2.847192133955606,97896.38854471449
228,-2.8202689806182994,-2.838792711291756,-2.8471921339555943,97896.38854471449
229,-2.820316189342237,-2.8388088526116917,-2.8471921339555957,101699.10415140378
230,-2.820365754599695,-2.8388204271149524,-2.8471921339556174,101699.10415140378
231,-2.8203848022275393,-2.83883202374018,-2.8471921339555957,103526.67157744891
232,-2.820384802227544,-2.838841378594922,-2.847192133955599,103526.67157744891
233,-2.820384802227545,-2.8388511426195304,-2.847192133955593,111341.4555452566
234,-2.820399322813279,-2.838858393166332,-2.8471921339556077,111341.4555452566
235,-2.820410500978109,-2.838890823330766,-2.847192133955602,119197.3977103483
236,-2.820505855348114,-2.838915025650198,-2.847192133955599,119197.3977103483
237,-2.8206422190096943,-2.8389150256501954,-2.8471921339555957,120784.31985252621
238,-2.820642219009692,-2.8389150256501927,-2.8471921339555952,120784.31985252621
239,-2.8206422190097014,-2.8389150256501905,-2.8471921339556063,120784.31985252621
240,-2.8206623369319397,-2.8389150256501985,-2.847192133955607,120784.31985252621
241,-2.8206623369319486,-2.8389150256501976,-2.847192133955613,120784.31985252621
242,-2.8206623369319392,-2.838915025650192,-2.847192133955611,120784.31985252621
243,-2.8206623369319317,-2.8389150256502016,-2.8471921339555997,134528.34935080478
244,-2.820662336931938,-2.8389150256501825,-2.847192133955608,134528.34935080478
245,-2.8206623978597767,-2.838915025650191,-2.847192133955596,134528.34935080478
246,-2.8206624593831515,-2.8389150256501994,-2.8471921339556028,134528.34935080478
247,-2.8206626361324183,-2.838915025650197,-2.8471921339556068,134528.34935080478
