subspace_size,qsci_energy,fci_subspace_energy,mean_sample_number
229,-3.118454236705916,-3.144684245081686,48712277.127635606
230,-3.1184572711161187,-3.1446842450816694,48713688.37051155
231,-3.118581040057488,-3.1446842450816925,53910041.14538507
232,-3.118714832375396,-3.144684245081674,53914176.699092135
233,-3.118715950778432,-3.1446842450816828,54599014.790364236
234,-3.118717137007687,-3.1446842450816797,54599881.88607249
235,-3.1187210433997157,-3.144684245081667,55668071.32022102
236,-3.118725198085197,-3.1446842450816797,55668162.461405836
237,-3.1187292846549974,-3.1446842450816725,56944814.72181501
238,-3.1187333741670686,-3.1446842450816725,56946447.379060976
239,-3.1187366681126716,-3.144684245081678,63826411.56341164
240,-3.118739962174198,-3.144684245081673,63827444.35635256
241,-3.1187399621741894,-3.1446842450816788,64744822.865674
242,-3.1187399621741987,-3.144684245081679,64809443.22010134
243,-3.1187399621741814,-3.144684245081683,64811273.55122379
244,-3.1187399621741942,-3.1446842450816748,72641423.82919408
245,-3.118739962174196,-3.144684245081682,72642630.43273199
246,-3.1187399621741876,-3.1446842450816903,79499267.99224365
247,-3.118739962174184,-3.1446842450816814,79501504.65295322
248,-3.1187405341922205,-3.1446842450816823,85259868.66012867
249,-3.118741104202838,-3.1446842450816703,85264023.39632155
250,-3.118773805421617,-3.144684245081676,86545582.56522153
251,-3.1188099644003238,-3.1446842450816748,86545643.16619176
252,-3.118809964400322,-3.1446842450816725,89106449.82141031
253,-3.118809964400335,-3.144684245081685,89107939.48376492
254,-3.118810217787951,-3.1446842450816717,99160044.10069217
255,-3.118810470511507,-3.144684245081681,99163619.62625831
256,-3.1188104705115065,-3.1446842450816863,112280783.45795701
257,-3.1188104705115034,-3.144684245081688,113968497.2922826
258,-3.118810470511517,-3.1446842450816774,113973971.20073977
259,-3.118810470511516,-3.144684245081676,115687135.66240874
260,-3.122086742637321,-3.1446842450816903,130579897.54482543
261,-3.130912588726562,-3.144684245081675,130590969.43425046
262,-3.1309133084992453,-3.1446842450816734,132549034.87329395
263,-3.130914029805579,-3.1446842450816765,132553907.16023067
264,-3.130958045189591,-3.1446842450816805,151874211.0967652
265,-3.1309580551968903,-3.144684245081675,202760211.8890579
