subspace_size,qsci_energy,spin_symm_energy,fci_subspace_energy,mean_sample_number
41,-2.6949886527703897,-2.785911565030213,-2.830379395849502,988.506656009618
42,-2.6950122953663613,-2.788870594477074,-2.830432960341064,988.506656009618
43,-2.7037554084061326,-2.799915977004595,-2.8305855954657675,988.506656009618
44,-2.7129361581805034,-2.802142763247117,-2.8308231457728286,988.506656009618
45,-2.7129383377365386,-2.8059660303854077,-2.8308647975172403,1166.1429043543424
46,-2.7138115809617,-2.8104596764879726,-2.831003146054707,1166.1429043543424
47,-2.7150710150331077,-2.8171811602672956,-2.8311583087067924,1166.1429043543424
48,-2.7150991030141047,-2.825329896251927,-2.8313533716947976,1166.1429043543424
49,-2.7154038217193195,-2.8288907666246463,-2.8315775864726414,1166.1429043543424
50,-2.7156504100036134,-2.8361468956109355,-2.8317032000075253,1166.1429043543424
51,-2.724651269280641,-2.8361785728625772,-2.8317811771070778,1195.485587486393
52,-2.734018455410568,-2.8362030467523627,-2.8319097926401926,1195.485587486393
53,-2.734215733531403,-2.836275271925585,-2.8319771149813224,1260.0361024968875
54,-2.734461378263288,-2.836315218138609,-2.8320368436797243,1260.0361024968875
55,-2.7563579819596367,-2.8363571717658944,-2.832113216798726,1260.0361024968875
56,-2.7804991109117747,-2.836360430208933,-2.8321820105286406,1260.0361024968875
57,-2.780913553570299,-2.8364094212598037,-2.8323055685979854,1260.0361024968875
58,-2.7813722425090863,-2.836409962552029,-2.832403716429133,1260.0361024968875
59,-2.799751738585831,-2.8364314815263314,-2.8325214419836997,1507.9565483964686
60,-2.818960676677598,-2.83644866240503,-2.832618668635114,1507.9565483964686
61,-2.8189746095435053,-2.8365650056641663,-2.8327914937018335,1586.8717946650638
62,-2.818987829682938,-2.8366884489106483,-2.8330014063594824,1586.8717946650638
63,-2.8190011336140315,-2.8367686091689404,-2.833126269902899,1586.8717946650638
64,-2.819014656572471,-2.836772896567574,-2.8332978761393903,1586.8717946650638
65,-2.8190157852996536,-2.8368651273537595,-2.8334408532010804,1586.8717946650638
66,-2.8190167239809254,-2.8368663265953087,-2.833680389021032,1586.8717946650638
67,-2.819075526016086,-2.8368671354790727,-2.8339501559645024,1606.5710274019893
68,-2.8191425909301486,-2.8368676976382003,-2.8340236570451984,1606.5710274019893
69,-2.819254907305226,-2.836972622136645,-2.834105222860436,1883.2261054380174
70,-2.819395601888332,-2.8371346311096426,-2.8341957145807832,1991.1464399440733
71,-2.819406892805505,-2.8374061090094225,-2.8343893352556035,2046.4331701646965
72,-2.819416503209178,-2.837590993689688,-2.8346562501274994,2091.2073173432786
73,-2.8194623559357694,-2.8375929574155094,-2.834888849810064,2428.803901847528
74,-2.8195066079392674,-2.8375943549188194,-2.8349965184543633,2428.803901847528
75,-2.819567130270671,-2.8377126382000353,-2.835125875768532,3677.5628874223594
76,-2.819626123279143,-2.8378335341483467,-2.8352601034869043,3955.163026092324
77,-2.8199508862566796,-2.8379184653622107,-2.8353585891502533,5156.6165003219485
78,-2.820459816932825,-2.8380169088677563,-2.8355347514122062,5955.27633546347
79,-2.820584910641254,-2.838052555078929,-2.8356832094402398,6977.035290387337
80,-2.8207238005259745,-2.838089319495699,-2.8360735956692893,8160.821940510466
81,-2.8208215900731357,-2.8381029364398973,-2.836524258077414,9717.52827258928
82,-2.820902546124028,-2.8381140162512026,-2.836807940228131,9717.52827258928
83,-2.8210276644277674,-2.8381497888224665,-2.837040310976066,13006.94181057557
84,-2.821167203236968,-2.838179617490792,-2.83737294358432,13006.94181057557
85,-2.821380141141185,-2.8382960557443466,-2.837542833062315,14948.084469802066
86,-2.821557281025561,-2.838407628119614,-2.8376819835096905,14948.084469802066
87,-2.8225081257209603,-2.838559949852913,-2.8378657654248514,15366.604747446214
88,-2.823888810150221,-2.838706995474508,-2.8379974312952805,15366.604747446214
89,-2.8240059913205537,-2.838938365968328,-2.838379150935125,30630.178118594635
90,-2.8241351596966715,-2.8389616280777785,-2.8389561729235413,30630.178118594635
91,-2.8249330205928844,-2.839038544475025,-2.839743252254518,30630.178118594635
92,-2.8260453162661454,-2.8390769106787603,-2.841039945332433,30630.178118594635
93,-2.8260723382026463,-2.8391672427279544,-2.8411239487003015,30630.178118594635
94,-2.8261050236886063,-2.8393521083887925,-2.8412089919326795,30630.178118594635
